area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - extent (%),IMD: Barriers to Housing and Services - proportion of LSOAs in most deprived 10% nationally,IMD: Crime - proportion of LSOAs in most deprived 10% nationally,IMD: Education Skills and Training Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Employment - proportion of LSOAs in most deprived 10% nationally,IMD: Health Deprivation and Disability - proportion of LSOAs in most deprived 10% nationally,IMD: Income Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Living Environment Deprivation - proportion of LSOAs in most deprived 10% nationally,Total population
Merton,E09000024,141504.00,107992.00,19930.00,3.90,1.61,1.61,0.00,0.00,0.00,1.61,4.03,206453.00
Mid and East Antrim,N09000008,,,9497.00,,,,,,,,,139443.00
Mid Devon,E07000042,61667.00,50288.00,3402.00,2.00,20.93,0.00,4.65,0.00,0.00,0.00,46.51,83290.00
Mid Suffolk,E07000203,79288.00,66993.00,4227.00,2.10,35.71,0.00,3.57,1.79,0.00,0.00,10.71,104857.00
Mid Sussex,E07000228,110831.00,91186.00,9545.00,0.30,3.49,0.00,1.16,0.00,0.00,0.00,4.65,152142.00
Mid Ulster,N09000009,,,14886.00,,,,,,,,,148953.00
Middlesbrough,E06000002,93431.00,74297.00,18618.00,57.10,0.00,45.35,39.53,48.84,56.98,50.00,0.00,141285.00
Midlothian,S12000019,,,,,,,,,,,,93150.00
Milton Keynes,E06000042,184144.00,139680.00,25150.00,11.80,18.42,1.97,5.92,5.26,2.63,5.26,0.66,270203.00
Mole Valley,E07000210,66378.00,54718.00,5831.00,0.90,12.96,0.00,1.85,0.00,0.00,0.00,1.85,87547.00
Monmouthshire,W06000021,,,4869.00,,0,0,0,0,0,0,0,95164.00
Moray,S12000020,,,,,,,,,,,,95710.00
Neath Port Talbot,W06000012,,,12428.00,,0,0,0,0,0,0,0,144386.00
New Forest,E07000091,137708.00,119608.00,8489.00,2.90,11.40,0.00,1.75,0.00,0.00,0.00,6.14,179649.00
Newark and Sherwood,E07000175,88538.00,73596.00,10170.00,14.60,8.57,0.00,15.71,7.14,0.00,4.29,4.29,123127.00
Newcastle upon Tyne,E08000021,196341.00,140013.00,36767.00,37.10,0.00,24.00,20.57,27.43,36.00,28.00,1.14,306824.00
Newcastle-under-Lyme,E07000195,91075.00,73543.00,11163.00,12.00,0.00,1.25,12.50,2.50,6.25,1.25,2.50,129610.00
Newham,E09000025,200509.00,135004.00,40763.00,28.80,100.00,10.98,0.00,1.22,0.61,4.27,9.76,355266.00
Newport,W06000022,,,12522.00,,0,0,0,0,0,0,0,156447.00
Newry Mourne and Down,N09000010,,,15665.00,,,,,,,,,181669.00
Norfolk,E10000020,679085.00,557032.00,51749.00,15.00,14.68,3.72,13.20,6.51,7.25,5.95,10.04,914039.00
North Ayrshire,S12000021,,,,,,,,,,,,134250.00
North Devon,E07000043,74312.00,61104.00,3503.00,11.40,17.24,0.00,1.72,6.90,6.90,3.45,24.14,98170.00
North East Derbyshire,E07000038,77393.00,68541.00,8105.00,10.70,0.00,0.00,7.94,4.76,7.94,3.17,1.59,102216.00
North East Lincolnshire,E06000012,108115.00,87200.00,15607.00,38.60,1.89,36.79,29.25,24.53,15.09,28.30,17.92,159364.00
North Hertfordshire,E07000099,96330.00,77069.00,8633.00,2.50,4.88,0.00,1.22,0.00,0.00,0.00,1.22,133463.00
North Kesteven,E07000139,89693.00,74778.00,7064.00,0.70,9.38,0.00,0.00,0.00,0.00,0.00,3.13,118149.00
North Lanarkshire,S12000050,,,,,,,,,,,,341140.00
North Lincolnshire,E06000013,120593.00,101130.00,12431.00,20.40,4.95,12.87,17.82,5.94,10.89,7.92,0.00,172748.00
North Norfolk,E07000147,81600.00,70215.00,3791.00,4.70,30.65,0.00,0.00,1.61,1.61,0.00,22.58,105167.00
North Northamptonshire,E06000061,237727.00,190294.00,27015.00,,6.19,5.67,14.95,5.67,7.22,5.67,1.03,350448.00
North Somerset,E06000024,162409.00,136296.00,14551.00,11.50,3.70,6.67,5.19,9.63,5.19,5.93,0.74,215574.00
North Tyneside,E08000022,152303.00,122559.00,20732.00,23.20,0.00,11.45,5.34,12.98,15.27,9.92,0.00,208871.00
North Warwickshire,E07000218,47570.00,39877.00,6220.00,5.70,10.53,2.63,7.89,2.63,0.00,2.63,7.89,65452.00
North West Leicestershire,E07000134,75121.00,62187.00,8470.00,3.80,0.00,0.00,8.62,3.45,0.00,3.45,1.72,104809.00
North Yorkshire,E10000023,472666.00,400886.00,42876.00,5.80,16.35,1.07,5.63,3.49,2.95,2.41,15.82,620610.00
Northumberland,E06000057,245467.00,208000.00,26738.00,20.50,14.21,13.20,13.20,16.24,8.63,10.66,7.11,323820.00
Norwich,E07000148,100028.00,72041.00,9433.00,36.70,1.20,13.25,36.14,16.87,26.51,15.66,4.82,142177.00
Nottingham,E06000018,190913.00,129953.00,39921.00,52.40,5.49,15.38,31.32,30.77,30.22,30.22,10.99,337098.00
Nottinghamshire,E10000024,593473.00,489841.00,75343.00,15.30,2.82,3.82,12.68,9.46,6.84,5.63,1.41,833377.00
Nuneaton and Bedworth,E07000219,91897.00,72913.00,11770.00,20.90,1.23,9.88,13.58,8.64,3.70,4.94,1.23,130373.00
Oadby and Wigston,E07000135,40920.00,34558.00,5983.00,4.30,0.00,0.00,2.78,0.00,2.78,0.00,0.00,57313.00
Oldham,E08000004,146778.00,117635.00,32076.00,47.90,0.00,37.59,29.79,27.66,24.11,26.24,9.93,237628.00
Orkney Islands,S12000023,,,,,,,,,,,,22400.00
Oxford,E07000178,111303.00,73752.00,13348.00,10.80,4.82,3.61,9.64,0.00,1.20,0.00,7.23,151584.00
Oxfordshire,E10000025,523764.00,396730.00,45615.00,3.90,11.55,1.47,5.41,0.00,0.74,0.00,5.65,696880.00
Pembrokeshire,W06000009,,,4129.00,,0,0,0,0,0,0,0,126751.00
Pendle,E07000122,59270.00,46383.00,12562.00,40.80,0.00,5.26,22.81,22.81,21.05,21.05,59.65,92145.00
Perth and Kinross,S12000048,,,,,,,,,,,,151910.00
Peterborough,E06000031,129710.00,97253.00,18392.00,36.80,13.39,27.68,27.68,12.50,8.04,10.71,2.68,202626.00
Plymouth,E06000026,187720.00,144842.00,16193.00,30.60,0.00,9.94,12.42,19.25,22.98,12.42,16.77,262839.00
Portsmouth,E06000044,144101.00,109444.00,18504.00,24.70,1.60,26.40,16.80,8.00,10.40,9.60,49.60,214692.00
Powys,W06000023,,,5289.00,,0,0,0,0,0,0,0,133030.00
Preston,E07000123,96657.00,79577.00,18600.00,41.60,1.16,25.58,11.63,13.95,27.91,20.93,30.23,144147.00
Reading,E06000038,111795.00,78331.00,14207.00,12.40,9.28,6.19,9.28,1.03,1.03,3.09,6.19,160337.00
Redbridge,E09000026,186445.00,145737.00,37350.00,4.10,7.45,5.59,0.00,0.62,0.00,1.86,1.86,305658.00
Redcar and Cleveland,E06000003,97767.00,82764.00,15251.00,36.30,0.00,13.64,19.32,32.95,35.23,26.14,1.14,137228.00
Redditch,E07000236,57605.00,46911.00,7663.00,26.00,29.09,0.00,16.36,7.27,9.09,3.64,0.00,85568.00
Reigate and Banstead,E07000211,105708.00,86486.00,12146.00,1.50,8.14,0.00,1.16,0.00,0.00,0.00,0.00,149243.00
Renfrewshire,S12000038,,,,,,,,,,,,179390.00
"Rhondda, Cynon, Taff",W06000016,,,23094.00,,0,0,0,0,0,0,0,241873.00
Ribble Valley,E07000124,46494.00,40888.00,6656.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,62026.00
Richmond upon Thames,E09000027,139863.00,113474.00,14596.00,0.80,0.00,0.87,0.00,0.87,0.00,0.00,0.00,198141.00
Richmondshire,E07000166,40215.00,30325.00,3838.00,1.20,26.47,0.00,5.88,0.00,0.00,0.00,14.71,53732.00
Rochdale,E08000005,141158.00,115190.00,29548.00,47.60,0.00,41.79,15.67,27.61,27.61,29.85,4.48,223659.00
Rochford,E07000075,63917.00,54627.00,8043.00,1.60,3.77,0.00,1.89,0.00,0.00,1.89,0.00,87627.00
Rossendale,E07000125,47786.00,39799.00,9312.00,22.00,0.00,6.98,9.30,16.28,11.63,11.63,6.98,71432.00
Rother,E07000064,72116.00,61550.00,5943.00,11.10,17.24,0.00,6.90,5.17,1.72,5.17,13.79,96716.00
Rotherham,E08000018,187506.00,162488.00,27181.00,35.70,0.00,18.56,23.35,26.95,29.34,19.76,1.20,264984.00
Rugby,E07000220,76810.00,60091.00,8858.00,3.90,9.84,1.64,1.64,0.00,0.00,0.00,0.00,110650.00
Runnymede,E07000212,60185.00,47476.00,6857.00,0.60,15.38,0.00,1.92,0.00,0.00,0.00,0.00,90327.00
Rushcliffe,E07000176,88532.00,72348.00,10329.00,0.00,4.41,0.00,1.47,0.00,0.00,0.00,2.94,121416.00
Rushmoor,E07000092,71132.00,56007.00,9207.00,7.10,6.90,1.72,3.45,0.00,3.45,3.45,1.72,94387.00
Rutland,E06000017,31139.00,26057.00,2227.00,0.00,26.09,0.00,0.00,0.00,0.00,0.00,0.00,40476.00
Ryedale,E07000167,42565.00,36600.00,2528.00,0.00,36.67,0.00,0.00,0.00,0.00,0.00,36.67,55629.00
Salford,E08000006,163373.00,120645.00,33888.00,47.20,0.67,31.33,18.00,30.00,44.00,26.00,5.33,262697.00
Sandwell,E08000028,203207.00,158734.00,41439.00,53.50,0.00,2.69,20.97,20.43,13.44,26.34,23.12,329042.00
Scarborough,E07000168,82910.00,73742.00,7769.00,26.10,4.23,5.63,16.90,15.49,14.08,9.86,28.17,108737.00
Scottish Borders,S12000026,,,,,,,,,,,,115240.00
Sedgemoor,E07000188,92072.00,73408.00,6843.00,16.80,10.00,8.57,10.00,7.14,2.86,5.71,20.00,123446.00
Sefton,E08000014,194040.00,163108.00,31609.00,29.80,0.00,8.47,11.11,25.40,29.10,21.16,14.29,275899.00
Selby,E07000169,67824.00,57083.00,7196.00,3.00,8.00,0.00,6.00,2.00,0.00,2.00,0.00,91697.00
Sevenoaks,E07000111,85412.00,69919.00,9081.00,2.70,12.16,4.05,0.00,1.35,0.00,0.00,6.76,121387.00
Sheffield,E08000019,380332.00,299645.00,57812.00,34.00,0.87,19.71,25.22,25.22,20.58,23.48,6.09,589214.00
Shetland Islands,S12000027,,,,,,,,,,,,22870.00
Shropshire,E06000051,241577.00,202809.00,19278.00,4.30,24.35,0.00,5.70,1.04,0.00,1.55,23.83,325415.00
Slough,E06000039,91301.00,67911.00,17659.00,11.20,51.25,8.75,0.00,0.00,1.25,0.00,0.00,149577.00
Solihull,E08000029,152356.00,128806.00,21343.00,17.10,2.24,4.48,14.18,14.93,5.97,13.43,0.75,217487.00
Somerset,E10000027,425386.00,350244.00,26702.00,8.50,13.15,4.59,5.50,3.36,1.53,2.75,15.29,563851.00
Somerset West and Taunton,E07000246,119098.00,98487.00,7435.00,8.90,18.18,5.68,5.68,3.41,2.27,3.41,18.18,155421.00
South Ayrshire,S12000028,,,,,,,,,,,,112140.00
South Cambridgeshire,E07000012,119775.00,96127.00,7895.00,0.10,22.92,0.00,0.00,0.00,0.00,0.00,0.00,160904.00
South Derbyshire,E07000039,78014.00,66752.00,9152.00,5.20,8.62,0.00,8.62,1.72,1.72,0.00,1.72,109516.00
South Gloucestershire,E06000025,211384.00,165258.00,23119.00,1.30,4.24,1.21,3.64,0.00,0.00,0.00,2.42,287816.00
South Hams,E07000044,67448.00,56221.00,2940.00,0.10,18.37,0.00,0.00,0.00,0.00,0.00,32.65,87946.00
South Holland,E07000140,66245.00,55833.00,6369.00,2.10,12.24,0.00,8.16,0.00,0.00,0.00,0.00,95857.00
South Kesteven,E07000141,106738.00,88584.00,9294.00,3.50,12.35,0.00,4.94,1.23,0.00,3.70,0.00,143225.00
South Lakeland,E07000031,80823.00,69121.00,6408.00,0.00,13.56,0.00,1.69,0.00,0.00,0.00,23.73,104905.00
South Lanarkshire,S12000029,,,,,,,,,,,,320820.00
South Norfolk,E07000149,107017.00,89476.00,7001.00,0.00,19.75,0.00,0.00,0.00,0.00,0.00,8.64,143066.00
South Oxfordshire,E07000179,111243.00,89168.00,8066.00,0.00,15.73,0.00,2.25,0.00,0.00,0.00,6.74,143782.00
South Ribble,E07000126,80980.00,68551.00,11736.00,6.00,1.43,0.00,4.29,4.29,4.29,4.29,11.43,111086.00
South Somerset,E07000189,129358.00,106969.00,7503.00,5.70,11.65,2.91,5.83,0.97,0.00,0.00,15.53,168696.00
South Staffordshire,E07000196,84122.00,72152.00,10476.00,2.00,5.88,0.00,1.47,0.00,0.00,0.00,2.94,112369.00
South Tyneside,E08000023,105668.00,88518.00,18826.00,45.10,0.98,10.78,7.84,41.18,40.20,33.33,0.00,151133.00
Southampton,E06000045,160171.00,119210.00,20533.00,28.40,0.68,39.86,16.22,8.11,15.54,8.78,13.51,252872.00
Southend-on-Sea,E06000033,121788.00,100405.00,18070.00,22.20,0.00,7.48,8.41,12.15,10.28,12.15,0.00,182773.00
Southwark,E09000028,200442.00,136214.00,29897.00,23.10,18.67,15.06,0.00,0.60,1.20,7.83,18.67,320017.00
Spelthorne,E07000213,71835.00,57198.00,9162.00,1.70,8.33,1.67,0.00,0.00,0.00,0.00,1.67,99873.00
St Albans,E07000240,106229.00,87046.00,10946.00,0.10,2.30,2.30,0.00,0.00,0.00,0.00,0.00,149317.00
St. Helens,E08000013,128753.00,107181.00,21884.00,40.10,0.00,10.08,15.97,29.41,42.02,22.69,3.36,181095.00
Stafford,E07000197,100564.00,84462.00,10841.00,5.00,12.50,0.00,1.25,1.25,2.50,1.25,6.25,137858.00
Staffordshire,E10000028,640376.00,530018.00,77119.00,9.10,5.30,0.38,7.39,2.08,2.65,1.89,6.06,883172.00
Staffordshire Moorlands,E07000198,73514.00,61507.00,7523.00,5.20,11.86,0.00,5.08,0.00,0.00,0.00,11.86,98427.00
Stevenage,E07000243,60211.00,47343.00,7432.00,5.40,5.77,5.77,0.00,0.00,0.00,0.00,0.00,88104.00
Stirling,S12000030,,,,,,,,,,,,94080.00
Stockport,E08000007,210266.00,172090.00,29844.00,17.50,0.00,13.16,6.32,10.00,12.11,8.42,5.79,294197.00
Stockton-on-Tees,E06000004,135853.00,109557.00,23124.00,30.20,1.67,10.00,16.67,20.83,28.33,21.67,0.00,197419.00
Stoke-on-Trent,E06000021,170042.00,137877.00,26182.00,50.70,0.00,22.01,32.08,30.82,42.77,28.30,8.81,256622.00
Stratford-on-Avon,E07000221,103527.00,87814.00,7213.00,0.10,16.44,0.00,0.00,0.00,0.00,0.00,8.22,132402.00
Stroud,E07000082,90915.00,74863.00,5615.00,0.70,1.45,0.00,1.45,0.00,0.00,0.00,1.45,120903.00
Suffolk,E10000029,552661.00,465984.00,37294.00,11.10,16.10,4.76,10.88,5.22,3.17,3.40,9.98,761246.00
Sunderland,E08000024,199101.00,161083.00,33791.00,39.60,0.00,17.84,21.62,31.89,32.97,25.41,0.00,277846.00
Surrey,E10000030,861945.00,699988.00,89624.00,0.80,7.62,0.14,0.99,0.00,0.00,0.00,0.71,1199870.00
Surrey Heath,E07000214,66754.00,55455.00,6706.00,0.00,3.64,0.00,1.82,0.00,0.00,0.00,0.00,89204.00
Sutton,E09000029,137921.00,107666.00,19681.00,5.80,0.83,0.00,0.83,2.48,0.00,2.48,0.83,207707.00
Swale,E07000113,103212.00,82293.00,15415.00,25.60,14.12,9.41,25.88,17.65,5.88,15.29,8.24,151015.00
Swansea,W06000011,,,19223.00,,0,0,0,0,0,0,0,246563.00
Swindon,E06000030,161058.00,119126.00,15254.00,15.70,0.76,15.15,12.12,6.06,6.06,6.06,2.27,222881.00
Tameside,E08000008,153991.00,126731.00,25695.00,41.60,0.00,26.95,13.48,19.86,29.79,17.02,9.22,227117.00
Tamworth,E07000199,53847.00,43115.00,7923.00,16.30,0.00,0.00,17.65,3.92,7.84,7.84,0.00,76864.00
Tandridge,E07000215,63695.00,54285.00,6910.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,88542.00
Teignbridge,E07000045,103764.00,87024.00,5121.00,4.00,7.14,0.00,0.00,0.00,0.00,0.00,21.43,135039.00
Telford and Wrekin,E06000020,122438.00,97571.00,14612.00,26.10,2.78,12.96,19.44,18.52,16.67,17.59,0.93,181322.00
Tendring,E07000076,111198.00,95726.00,12129.00,31.40,4.49,12.36,20.22,17.98,16.85,14.61,6.74,147353.00
Test Valley,E07000093,97794.00,79633.00,7681.00,1.50,18.31,4.23,4.23,0.00,0.00,0.00,5.63,127163.00
Tewkesbury,E07000083,72012.00,60314.00,4621.00,2.10,10.00,0.00,6.00,0.00,0.00,0.00,2.00,96624.00
Thanet,E07000114,99043.00,84302.00,12481.00,36.40,1.19,32.14,20.24,25.00,7.14,20.24,2.38,141458.00
The Vale of Glamorgan,W06000014,,,8399.00,,0,0,0,0,0,0,0,135295.00
Three Rivers,E07000102,67408.00,55953.00,8325.00,1.60,0.00,0.00,0.00,1.89,0.00,0.00,0.00,93966.00
Thurrock,E06000034,103280.00,79960.00,20341.00,12.10,7.14,11.22,8.16,2.04,0.00,5.10,3.06,175531.00
Tonbridge and Malling,E07000115,92908.00,74335.00,10340.00,3.90,11.11,2.78,4.17,0.00,0.00,0.00,4.17,132571.00
Torbay,E06000027,101829.00,86026.00,7304.00,29.10,1.12,11.24,7.87,16.85,12.36,11.24,10.11,136218.00
Torfaen,W06000020,,,7238.00,,0,0,0,0,0,0,0,94832.00
Torridge,E07000046,52339.00,43992.00,1790.00,10.30,32.43,0.00,5.41,2.70,0.00,0.00,48.65,68719.00
Tower Hamlets,E09000030,195986.00,118406.00,35906.00,30.60,6.94,21.53,0.69,0.69,1.39,15.28,13.89,331969.00
Trafford,E08000009,163064.00,134831.00,24366.00,11.30,0.72,2.17,1.45,5.80,5.07,7.25,2.90,237579.00
Tunbridge Wells,E07000116,82094.00,65448.00,7394.00,1.40,4.41,1.47,4.41,0.00,0.00,0.00,8.82,118939.00
Uttlesford,E07000077,66446.00,54865.00,6559.00,0.00,23.91,0.00,0.00,0.00,0.00,0.00,0.00,92759.00
Vale of White Horse,E07000180,101987.00,80578.00,7086.00,0.70,7.89,0.00,1.32,0.00,0.00,0.00,0.00,137910.00
Wakefield,E08000036,245892.00,200065.00,37244.00,32.50,0.00,23.92,28.23,19.14,15.31,9.57,0.96,351592.00
Walsall,E08000030,183091.00,147651.00,31055.00,48.40,0.00,5.99,28.14,19.76,13.77,31.74,5.39,286716.00
Waltham Forest,E09000031,159887.00,116519.00,29939.00,17.80,47.92,4.17,0.00,2.08,0.00,6.94,16.67,276940.00
Wandsworth,E09000032,227677.00,157163.00,30856.00,5.00,9.50,3.35,0.00,0.00,0.00,1.68,8.38,329735.00
Warrington,E06000007,149238.00,124635.00,23821.00,18.40,0.00,4.72,10.24,10.24,12.60,6.30,4.72,209397.00
Warwick,E07000222,106118.00,84388.00,10745.00,1.90,4.65,4.65,1.16,1.16,0.00,0.00,3.49,144909.00
Warwickshire,E10000031,425922.00,345083.00,44806.00,6.60,7.96,4.13,4.72,2.65,0.88,1.47,3.83,583786.00
Watford,E07000103,66430.00,51858.00,9924.00,3.10,0.00,3.77,0.00,0.00,0.00,0.00,5.66,96623.00
Waverley,E07000216,94785.00,79202.00,7505.00,0.30,4.88,0.00,0.00,0.00,0.00,0.00,0.00,126556.00
Wealden,E07000065,118895.00,99369.00,9811.00,2.50,17.89,0.00,4.21,0.00,0.00,0.00,14.74,162733.00
Welwyn Hatfield,E07000241,77696.00,59268.00,10454.00,2.30,11.94,2.99,0.00,0.00,0.00,0.00,0.00,123893.00
West Berkshire,E06000037,117931.00,93643.00,8539.00,0.80,9.28,0.00,1.03,0.00,0.00,0.00,4.12,158465.00
West Devon,E07000047,43562.00,37615.00,1666.00,0.00,22.58,0.00,0.00,0.00,0.00,0.00,45.16,56139.00
West Dunbartonshire,S12000039,,,,,,,,,,,,88340.00
West Lancashire,E07000127,81241.00,69876.00,11808.00,16.40,1.37,4.11,5.48,15.07,1.37,10.96,1.37,114496.00
West Lindsey,E07000142,71320.00,61230.00,6109.00,16.10,21.15,7.69,11.54,13.46,3.85,9.62,9.62,96186.00
West Lothian,S12000040,,,,,,,,,,,,183820.00
West Northamptonshire,E06000062,283185.00,222223.00,33445.00,,7.02,12.72,7.46,3.51,5.26,3.95,3.51,406733.00
West Oxfordshire,E07000181,85622.00,66390.00,5818.00,0.00,10.61,0.00,3.03,0.00,0.00,0.00,4.55,111758.00
West Suffolk,E07000245,122034.00,99043.00,8160.00,3.10,27.00,0.00,8.00,0.00,0.00,0.00,2.00,177302.00
West Sussex,E10000032,641551.00,534931.00,56428.00,4.30,8.71,1.19,3.76,0.99,1.39,0.40,6.53,867635.00
Westminster,E09000033,143494.00,109637.00,19001.00,15.90,0.00,7.03,0.00,10.16,0.78,10.94,37.50,269848.00
Wigan,E08000010,225894.00,185300.00,41938.00,31.40,0.00,21.00,14.00,19.00,21.50,13.50,2.00,330712.00
Wiltshire,E06000054,379677.00,295854.00,24724.00,2.90,14.04,0.70,4.56,0.70,0.00,0.35,5.96,504070.00
Winchester,E07000094,94431.00,78361.00,6743.00,0.30,12.86,0.00,2.86,0.00,0.00,0.00,10.00,125925.00
Windsor and Maidenhead,E06000040,110032.00,89830.00,10762.00,0.10,2.25,0.00,0.00,0.00,0.00,0.00,1.12,151273.00
Wirral,E08000015,227528.00,193307.00,32746.00,35.30,0.49,10.68,12.62,28.64,34.95,24.27,14.56,324336.00
Woking,E07000217,72784.00,56786.00,8385.00,1.40,3.28,0.00,0.00,0.00,0.00,0.00,1.64,100008.00
Wokingham,E06000041,125899.00,101023.00,11022.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,173945.00
Wolverhampton,E08000031,165426.00,132306.00,29663.00,48.30,1.27,3.16,17.72,25.32,9.49,29.75,3.16,264407.00
Worcester,E07000237,71973.00,55663.00,8503.00,18.70,0.00,11.11,15.87,11.11,7.94,14.29,19.05,100265.00
Worcestershire,E10000034,438269.00,366192.00,43870.00,12.70,17.31,4.40,8.79,4.95,3.30,4.40,10.16,598070.00
Worthing,E07000229,81446.00,67531.00,6974.00,7.20,0.00,3.08,3.08,3.08,3.08,0.00,9.23,110727.00
Wrexham,W06000006,,,13587.00,,0,0,0,0,0,0,0,136055.00
Wychavon,E07000238,99574.00,84033.00,8156.00,3.80,29.49,3.85,5.13,1.28,0.00,0.00,7.69,131084.00
Wyre,E07000128,83544.00,74520.00,9999.00,15.90,0.00,7.25,10.14,13.04,17.39,14.49,7.25,113067.00
Wyre Forest,E07000239,74708.00,64011.00,7200.00,21.00,15.38,6.15,10.77,6.15,1.54,4.62,10.77,101139.00
York,E06000014,147463.00,111487.00,17242.00,5.40,0.83,0.00,6.67,0.83,0.83,0.00,4.17,211012.00
