,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Brighton and Hove,South East,16.8,3.64,6.67,9.09,9.09,10.3,9.09,8.48,37.4,35,0.7533477616053156,0.03222520489075074,0.012966867609767879,0.012332147490378571,0.034918895153524865,0.6025289746016477
Broadland,East of England,0.0,10.71,0.0,0.0,0.0,0.0,0.0,2.38,43.9,45,0.8944255888100381,0.007816517535739998,0.0024316422033176122,0.0014031530538781388,0.009293134100292385,0.7302302966008045
Bromley,London,7.3,10.15,5.58,0.0,0.51,0.0,4.57,0.0,39.9,40,0.7271015662754935,0.03043999296055958,0.052198009402681135,0.00802272733621429,0.044882019537240594,0.6141292629586382
Bromsgrove,West Midlands,2.5,5.17,3.45,0.0,0.0,1.72,0.0,1.72,42.6,44,0.8618481156298383,0.013424755017454104,0.004269764489791993,0.0016925192572148442,0.01851192937578736,0.6883099352051836
Broxbourne,East of England,7.1,19.64,1.79,1.79,0.0,0.0,0.0,0.0,39.1,39,0.8005369611414693,0.020311551305403765,0.037539845173041896,0.007504174256223436,0.0207764116575592,0.5966329774072594
Broxtowe,East Midlands,5.4,0.0,1.41,2.82,5.63,0.0,2.82,1.41,41.4,42,0.8415795625036264,0.015144105237854462,0.007733689210135858,0.005686292388159912,0.03732561898525377,0.6685981354961357
Burnley,North West,53.6,0.0,40.0,23.33,30.0,46.67,25.0,38.33,39.4,39,0.7695826417843986,0.009877342832854309,0.002135368173906003,0.0024288547949641746,0.09693154677569527,0.5709888144994971
Bury,North West,24.2,0.83,13.33,4.17,15.0,10.83,10.0,8.33,39.2,40,0.7958854804936651,0.016235176053959646,0.009133191164976406,0.006576090627502823,0.06468499416209122,0.5972892047076124
Calderdale,Yorkshire and The Humber,29.3,0.78,23.44,13.28,14.84,10.94,15.63,37.5,39.6,40,0.8184440751309147,0.01252928501995637,0.004027110201265919,0.0020964266676223027,0.07559230772676573,0.6251278554381179
Cambridge,East of England,4.6,8.7,5.8,1.45,0.0,1.45,0.0,8.7,35.6,31,0.5554672963297461,0.02145787314610287,0.011409016223980153,0.010897596326481757,0.07409059749077812,0.5317688586743365
Camden,London,13.8,0.0,11.28,0.0,0.75,0.0,8.27,14.29,35.7,33,0.4947636876661783,0.04178875685061588,0.061248575614520594,0.028674236258071518,0.12021135167399208,0.4909441141010885
Cannock Chase,West Midlands,14.3,0.0,0.0,13.33,5.0,1.67,3.33,0.0,39.6,40,0.9287866524948563,0.008454330040662695,0.002730348802059463,0.0007508459205663523,0.009575723298651403,0.6915365637220007
Canterbury,South East,10.6,6.67,13.33,7.78,2.22,1.11,0.0,2.22,40.0,39,0.8103988258271794,0.014740722763466583,0.011192779299425627,0.0052121254146008855,0.029672133042101492,0.6396443242681088
Carlisle,North West,19.0,10.29,2.94,17.65,8.82,16.18,5.88,8.82,41.3,42,0.9248743806880073,0.004699743490635651,0.001291331389015777,0.0010014406690326434,0.010963139955725782,0.6703004261489223
Castle Point,East of England,7.3,0.0,0.0,14.04,1.75,0.0,5.26,0.0,43.2,45,0.8977623334912863,0.009593007950297478,0.006960459116516611,0.001621650081609014,0.010656557679144947,0.6691699979959286
Central Bedfordshire,East of England,3.0,7.01,5.1,3.82,0.64,0.0,0.0,0.64,39.6,40,0.776881764258952,0.015616287373600681,0.011784769799163262,0.0027847795817613243,0.02087606426514754,0.646004955145136
