,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Kirklees,Yorkshire and The Humber,29.4,0.39,17.76,14.67,9.27,5.41,10.42,20.46,38.4,38,0.7232096280182257,0.021191164215288376,0.01711094516055716,0.005868155892507333,0.1467190493197831,0.6088397837969096
Knowsley,North West,59.9,0.0,4.08,42.86,50.0,61.22,46.94,5.1,39.1,40,0.8474999551909761,0.011429288372954469,0.003017140945291169,0.0012785508164204161,0.008382274745036654,0.5680845964891259
Lambeth,London,19.5,3.37,13.48,0.0,1.12,2.25,4.49,44.38,33.7,31,0.42669754419922923,0.057179396653672096,0.19391123367757832,0.01832160201066065,0.05169353225969717,0.5090683580404622
Lancaster,North West,23.2,1.12,14.61,10.11,14.61,21.35,11.24,31.46,40.2,40,0.8300647019247094,0.008526317775108937,0.0039487666392097436,0.0019932468545055555,0.02346623741645026,0.6424537536708416
Leeds,Yorkshire and The Humber,32.8,0.21,34.65,19.71,17.43,17.43,18.05,24.69,37.6,35,0.7126457811325133,0.021901474601116938,0.028886251112811782,0.009181394456356582,0.06497593649107854,0.5745027048034271
Leicester,East Midlands,37.1,0.0,22.4,29.69,15.1,20.83,25.52,8.33,34.8,31,0.40092477127950815,0.027931276517225493,0.04965158265173461,0.020666250189947152,0.2954009874839902,0.5166445576875216
Lewes,South East,5.7,9.68,0.0,4.84,0.0,0.0,0.0,6.45,43.7,45,0.8817871606419679,0.011952527373631318,0.0038998050097495125,0.0023623818809059547,0.01312434378281086,0.6920060927451201
Lewisham,London,24.6,38.46,6.51,0.0,2.96,0.59,5.92,21.3,34.6,33,0.42416520463631396,0.05888003681440364,0.21554258103482987,0.020854784434409964,0.07343898300209957,0.5016330440402548
Lichfield,West Midlands,3.5,5.17,0.0,3.45,1.72,0.0,0.0,0.0,42.2,44,0.8641861373135388,0.009175533094923286,0.004268308915530078,0.0010382373037775864,0.01440221490624806,0.7124650543598846
Lincoln,East Midlands,29.2,0.0,1.75,22.81,22.81,28.07,14.04,1.75,37.4,34,0.8361016441331786,0.01151642260589491,0.007284371371858732,0.0033706602748960713,0.016797123703232088,0.6129092505089367
Liverpool,North West,62.1,0.34,24.16,24.83,47.99,65.77,44.63,45.97,37.7,35,0.7491852673931629,0.021249021688245256,0.02224676411525371,0.014960713891936542,0.0350710078102265,0.5373042193756743
Luton,East of England,27.1,13.22,4.96,1.65,2.48,4.96,7.44,1.65,34.8,32,0.4353806405000864,0.032515824027391664,0.07817383656096373,0.011701141842969106,0.2393315428230379,0.4671339994470993
Maidstone,South East,8.2,14.74,4.21,6.32,1.05,0.0,2.11,13.68,40.1,41,0.7913407075062829,0.012783959265780966,0.007523182851504364,0.0026113076709207176,0.0269471687210044,0.6438006431925141
Maldon,East of England,0.8,20.0,0.0,0.0,0.0,0.0,0.0,2.5,43.0,45,0.8777032935004372,0.007373943456718158,0.002185951617604197,0.0008743806470416788,0.007053337219469542,0.7137955703502548
Malvern Hills,West Midlands,5.6,24.44,0.0,4.44,4.44,0.0,4.44,24.44,44.9,47,0.8779598391634568,0.0077158071410459205,0.001823297149136047,0.0011833319246048516,0.010891483632587512,0.7264591910874304
Manchester,North West,60.0,3.19,61.35,14.54,33.69,52.13,39.36,19.15,33.2,29,0.508829236543246,0.0352211415050153,0.06612651082440676,0.023399149619518604,0.1307596853957189,0.4812286949575271
Mansfield,East Midlands,37.1,0.0,10.45,31.34,17.91,22.39,13.43,0.0,40.2,41,0.8674921172037222,0.00945081049672298,0.0034009245729617952,0.0012903005289377665,0.011014552197356167,0.6325220670151684
Medway,South East,23.9,2.45,22.7,11.04,7.98,4.29,8.59,14.72,37.7,37,0.7996511017394102,0.017532984435072743,0.02256999136222753,0.006408888437240655,0.04611893027115831,0.6071794697715469
Melton,East Midlands,0.9,20.0,0.0,3.33,0.0,0.0,0.0,6.67,41.7,43,0.9236416758751147,0.007753825407824996,0.001779259453486412,0.0005618714063641301,0.009701646283220646,0.7039087275524948
Mendip,South West,3.0,12.12,1.52,0.0,3.03,1.52,3.03,6.06,41.9,43,0.8566673617683387,0.00798832229191062,0.0016842848205835645,0.0006977751399560481,0.007450955230105388,0.6600357154348595
Merton,London,3.9,1.61,1.61,0.0,0.0,0.0,1.61,4.03,36.3,34,0.49566166752858704,0.03575628723017105,0.07972188703097167,0.014553046409622862,0.1384550556417476,0.5211653060123191
Mid Devon,South West,2.0,20.93,0.0,4.65,0.0,0.0,0.0,46.51,42.3,44,0.8820928518791452,0.005572955047899779,0.0010823507737656596,0.000552689756816507,0.0049281503316138545,0.696642450422148
Mid Suffolk,East of England,2.1,35.71,0.0,3.57,1.79,0.0,0.0,10.71,42.4,44,0.8869125754791284,0.008935603645501257,0.0034786033079548437,0.0008719948992986535,0.006066459138131493,0.7297805701601753
Mid Sussex,South East,0.3,3.49,0.0,1.16,0.0,0.0,0.0,4.65,41.0,42,0.828465970022695,0.012264009776292491,0.004913085767014989,0.0020325710152879267,0.02344938524079108,0.6762955926101848
Middlesbrough,North East,57.1,0.0,45.35,39.53,48.84,56.98,50.0,0.0,37.8,37,0.7552649340838302,0.014626020942084176,0.010718730842822908,0.009263559411243832,0.06667781266061068,0.5726162430254185
Milton Keynes,South East,11.8,18.42,1.97,5.92,5.26,2.63,5.26,0.66,36.1,35,0.638296098164861,0.02641099159081725,0.05494191826864484,0.0050641111987735805,0.07306559932264707,0.5749663621785047
Mole Valley,South East,0.9,12.96,0.0,1.85,0.0,0.0,0.0,1.85,42.7,44,0.8537536082257011,0.01324245169718295,0.004203451254714397,0.0039400771159478305,0.022934620003792587,0.6833394980184939
New Forest,South East,2.9,11.4,0.0,1.75,0.0,0.0,0.0,6.14,45.2,47,0.9233519541057997,0.008710005215250036,0.003290446414650014,0.002177501303812509,0.008951949804562537,0.7231928668848147
Newark and Sherwood,East Midlands,14.6,8.57,0.0,15.71,7.14,0.0,4.29,4.29,41.6,43,0.8627534273025681,0.008959258544120486,0.0038540258737207954,0.0012666537941687585,0.008001544699748986,0.6640698882222532
Newcastle upon Tyne,North East,37.1,0.0,24.0,20.57,27.43,36.0,28.0,1.14,36.9,33,0.7141322831826725,0.012765893970583848,0.015394254005191085,0.012225901727378502,0.08087055103075867,0.5646068589923504
Newcastle-under-Lyme,West Midlands,12.0,0.0,1.25,12.5,2.5,6.25,1.25,2.5,40.8,41,0.9042423962850201,0.011455546329612203,0.006365900913368392,0.002913860442230218,0.02700126087892487,0.6821619046155265
Newham,London,28.8,100.0,10.98,0.0,1.22,0.61,4.27,9.76,31.3,29,0.198706395706792,0.0312206851311627,0.1349038080504367,0.023892947416261624,0.29977007068031764,0.4296688562640136
North Devon,South West,11.4,17.24,0.0,1.72,6.9,6.9,3.45,24.14,43.3,45,0.872457232022226,0.00746893493939221,0.0015033015546802155,0.0013986413198607067,0.007944663279480886,0.6963612592924829
North East Derbyshire,East Midlands,10.7,0.0,0.0,7.94,4.76,7.94,3.17,1.59,43.3,45,0.9243037757600587,0.007488638420716661,0.0022484970321744683,0.001162358635276632,0.007574386188892806,0.727262307295547
North East Lincolnshire,Yorkshire and The Humber,38.6,1.89,36.79,29.25,24.53,15.09,28.3,17.92,40.2,41,0.9326479290828666,0.007118121200117635,0.0024667350870559426,0.002814838821968947,0.012777807786720443,0.6332429719478989
North Hertfordshire,East of England,2.5,4.88,0.0,1.22,0.0,0.0,0.0,1.22,40.2,40,0.8081495746842999,0.023991074410705023,0.01770194501097933,0.004768368166345696,0.04847248772376154,0.6691719690822906
North Kesteven,East Midlands,0.7,9.38,0.0,0.0,0.0,0.0,0.0,3.13,42.7,44,0.8627071913338554,0.006452297050378491,0.0020474419211694074,0.001133842338814931,0.006117854346123728,0.7197832333270574
North Lincolnshire,Yorkshire and The Humber,20.4,4.95,12.87,17.82,5.94,10.89,7.92,0.0,40.8,42,0.8931994573798563,0.0069161829786287725,0.0027464585140213934,0.0022850090066048436,0.025290768785998622,0.6533453726618064
North Norfolk,East of England,4.7,30.65,0.0,0.0,1.61,1.61,0.0,22.58,47.5,51,0.930864817605149,0.0057387875067433074,0.0014602749409379243,0.0006231746563238276,0.004938891679223171,0.7337434997339208
North Somerset,South West,11.5,3.7,6.67,5.19,9.63,5.19,5.93,0.74,42.6,44,0.8558264875907332,0.008836441083148606,0.0027469900465075846,0.001690789759638371,0.010588081888121006,0.6893880273615465
North Tyneside,North East,23.2,0.0,11.45,5.34,12.98,15.27,9.92,0.0,40.9,41,0.8912799779472572,0.008338693374988514,0.0033722319213452174,0.0018928604245152991,0.017527336212441423,0.6832083039756112
North Warwickshire,West Midlands,5.7,10.53,2.63,7.89,2.63,0.0,2.63,7.89,41.7,43,0.8933262649466925,0.0074512575837898335,0.002532838546268481,0.0006921128585733639,0.008540967190905342,0.6889154457870432
North West Leicestershire,East Midlands,3.8,0.0,0.0,8.62,3.45,0.0,3.45,1.72,40.8,42,0.8526348297257081,0.008244663428694423,0.0019184517626360464,0.0011323544550193249,0.010050815575956652,0.6933542255040862
Northumberland,North East,20.5,14.21,13.2,13.2,16.24,8.63,10.66,7.11,42.8,45,0.9316074130672539,0.005069890781608162,0.0010127796005812994,0.0008210106821280358,0.007964402894512113,0.7205054448943032
Norwich,East of England,36.7,1.2,13.25,36.14,16.87,26.51,15.66,4.82,37.4,34,0.7545635381304083,0.019069910454879175,0.0134725560206073,0.006946492554640094,0.03667145662991573,0.6157672812936614
Nottingham,East Midlands,52.4,5.49,15.38,31.32,30.77,30.22,30.22,10.99,34.8,30,0.5904163996744723,0.054790853861315464,0.0599819932352965,0.012147806878800415,0.10825418197647224,0.5042793637769603
Nuneaton and Bedworth,West Midlands,20.9,1.23,9.88,13.58,8.64,3.7,4.94,1.23,39.7,40,0.8104887023474445,0.009897410083163768,0.007423057562372826,0.0038072415577786126,0.055867902188632156,0.6369583747691433
Oadby and Wigston,East Midlands,4.3,0.0,0.0,2.78,0.0,2.78,0.0,0.0,41.0,41,0.6669920127535666,0.01913034990971646,0.010915361215492981,0.012883705041237616,0.20366665039936233,0.6492811605516523
Oldham,North West,47.9,0.0,37.59,29.79,27.66,24.11,26.24,9.93,37.4,37,0.6753999751953367,0.015723831080243087,0.010840412997643557,0.002139402207615032,0.1672958266154037,0.5428302941816036
Oxford,South East,10.8,4.82,3.61,9.64,0.0,1.2,0.0,7.23,34.3,29,0.5599260811112536,0.028669697531128118,0.03338701478852832,0.009781426216502534,0.08943900504035611,0.5181132415842619
Pendle,North West,40.8,0.0,5.26,22.81,22.81,21.05,21.05,59.65,38.9,39,0.6927994877566068,0.009177694128604136,0.0012223990065582677,0.0013194148007295587,0.16305444526368892,0.5524985142389494
Peterborough,East of England,36.8,13.39,27.68,27.68,12.5,8.04,10.71,2.68,36.9,35,0.6062153697904119,0.019866698787440778,0.016718862924596484,0.005954388500762868,0.08629245964827752,0.4952187830069259
Plymouth,South West,30.6,0.0,9.94,12.42,19.25,22.98,12.42,16.77,39.0,38,0.8764029754641603,0.01169338916182555,0.005969427141327433,0.0035716953813425163,0.013895460318250865,0.6482904539231549
Portsmouth,South East,24.7,1.6,26.4,16.8,8.0,10.4,9.6,49.6,36.5,34,0.7724761876324983,0.023319697829267565,0.01611093811983603,0.009196500552387209,0.053208324624525995,0.6025884958590052
Preston,North West,41.6,1.16,25.58,11.63,13.95,27.91,20.93,30.23,36.9,35,0.6858468960884302,0.020312070597575498,0.010235427035940029,0.006430730709334636,0.13271855629179516,0.5679530458330014
Reading,South East,12.4,9.28,6.19,9.28,1.03,1.03,3.09,6.19,35.3,33,0.577658015646343,0.030696634794486526,0.0520054638023097,0.0074506395132248856,0.10510865515956787,0.5373659266650037
Redbridge,London,4.1,7.45,5.59,0.0,0.62,0.0,1.86,1.86,35.6,34,0.33228652022499006,0.03212220795316259,0.06966447770568475,0.021085806896629075,0.3266701809678161,0.5102630704131711
Redcar and Cleveland,North East,36.3,0.0,13.64,19.32,32.95,35.23,26.14,1.14,41.5,43,0.9334081267748834,0.0059811380289590856,0.000855449987729201,0.0009115450688917716,0.006093328191284227,0.6696898278691974
Redditch,West Midlands,26.0,29.09,0.0,16.36,7.27,9.09,3.64,0.0,38.6,38,0.8464840890966889,0.018079330573185785,0.009416545591592837,0.001868015424782338,0.044013065183906665,0.6090044276883959
Reigate and Banstead,South East,1.5,8.14,0.0,1.16,0.0,0.0,0.0,0.0,39.9,40,0.7675263125500092,0.018692681725857082,0.013331692004677787,0.0046839416507662955,0.043035637348433554,0.6302367490509602
Ribble Valley,North West,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,42.5,44,0.8660717052461963,0.005577763316909919,0.0014254284032103126,0.0007282079885965728,0.011294970716742587,0.7078053174307367
Richmond upon Thames,London,0.8,0.0,0.87,0.0,0.87,0.0,0.0,0.0,38.3,38,0.6940189847439393,0.029293710493456443,0.012166827249199607,0.013229696390997584,0.05879048948148404,0.5887234254829069
Richmondshire,Yorkshire and The Humber,1.2,26.47,0.0,5.88,0.0,0.0,0.0,14.71,40.0,40,0.8801414281399357,0.00891921184016488,0.008812607714585221,0.0029138460991773715,0.02215589076630599,0.7076160528700102
Rochdale,North West,47.6,0.0,41.79,15.67,27.61,27.61,29.85,4.48,37.9,38,0.7118483373249626,0.014712004979574676,0.011418395571146498,0.003528572782996896,0.13038406206330821,0.5630514052306497
Rochford,East of England,1.6,3.77,0.0,1.89,0.0,0.0,1.89,0.0,42.3,44,0.8948678518879092,0.010012058722660443,0.004790299919239747,0.0014492593289154893,0.009746545563164474,0.6857532605802502
Rossendale,North West,22.0,0.0,6.98,9.3,16.28,11.63,11.63,6.98,39.6,40,0.8587926155504649,0.008112114270313974,0.0016574585635359116,0.0011184476485648835,0.04576202668104029,0.6302572065077972
Rother,South East,11.1,17.24,0.0,6.9,5.17,1.72,5.17,13.79,47.2,50,0.8865478774418253,0.010408358992478927,0.003079097471101913,0.001998889505830094,0.011135227903689869,0.7053020337954062
Rotherham,Yorkshire and The Humber,35.7,0.0,18.56,23.35,26.95,29.34,19.76,1.2,40.2,41,0.8622145145224053,0.009140551657911899,0.007567559820270455,0.004686727388690225,0.037805550977118164,0.6580335249282865
Rugby,West Midlands,3.9,9.84,1.64,1.64,0.0,0.0,0.0,0.0,40.0,40,0.7422170043676727,0.016304883255065517,0.01631309316607008,0.0025614922334241895,0.042896784998850614,0.615235098874128
Runnymede,South East,0.6,15.38,0.0,1.92,0.0,0.0,0.0,0.0,39.7,39,0.7406220507555251,0.017329890171432126,0.008939775779637638,0.008120469182663887,0.05767296184520291,0.5994321136604747
Rushcliffe,East Midlands,0.0,4.41,0.0,1.47,0.0,0.0,0.0,2.94,41.2,42,0.832938922695515,0.015687884349141954,0.005046846324736791,0.0035014005602240898,0.03713899352844586,0.6909438806403952
Rushmoor,South East,7.1,6.9,1.72,3.45,0.0,3.45,3.45,1.72,36.6,36,0.7427285318559557,0.019250205884554915,0.01748147039005765,0.005680542037882758,0.0912910833270944,0.6475109055847827
Rutland,East Midlands,0.0,26.09,0.0,0.0,0.0,0.0,0.0,0.0,42.4,43,0.8522751322751323,0.00914756025867137,0.005902410346854792,0.0014814814814814814,0.008583186360964138,0.7168172585277021
Ryedale,Yorkshire and The Humber,0.0,36.67,0.0,0.0,0.0,0.0,0.0,36.67,44.6,47,0.8897712001954659,0.005270598090717116,0.0013961849246932757,0.0005584739698773103,0.004764481055515803,0.7270740067151651
Salford,North West,47.2,0.67,31.33,18.0,30.0,44.0,26.0,5.33,37.4,35,0.7130976075388927,0.015624788442530837,0.022140758492763042,0.00841152497393612,0.031916406027864656,0.5384123137249562
Sandwell,West Midlands,53.5,0.0,2.69,20.97,20.43,13.44,26.34,23.12,37.4,36,0.5829261359791009,0.02761001096387336,0.04969477117990227,0.012934663436159125,0.16041906360400113,0.5240206686632979
Scarborough,Yorkshire and The Humber,26.1,4.23,5.63,16.9,15.49,14.08,9.86,28.17,44.2,46,0.9193159755928443,0.007531895714880044,0.0020801553182637636,0.0018721397864373873,0.011822216058799058,0.694219688344646
Sedgemoor,South West,16.8,10.0,8.57,10.0,7.14,2.86,5.71,20.0,42.4,44,0.8562650199251666,0.006608767073282025,0.0010647035561098775,0.0009126030480941807,0.005589693669576856,0.6796579397046258
Sefton,North West,29.8,0.0,8.47,11.11,25.4,29.1,21.16,14.29,42.5,44,0.9098419675062533,0.009623226783965384,0.0027163434468214344,0.0024365191218976186,0.009278565115461658,0.6446312075167198
Selby,Yorkshire and The Humber,3.0,8.0,0.0,6.0,2.0,0.0,2.0,0.0,40.9,42,0.8581050646833919,0.006557377049180328,0.0022207091604252867,0.00042947677159168283,0.005164196302309747,0.6975584142819637
Sevenoaks,South East,2.7,12.16,4.05,0.0,1.35,0.0,0.0,6.76,41.4,43,0.8590300086186633,0.013123873697406566,0.006683381650082269,0.001966622267491969,0.01633628457259265,0.6525765496639283
Sheffield,Yorkshire and The Humber,34.0,0.87,19.71,25.22,25.22,20.58,23.48,6.09,37.9,36,0.7510566624578919,0.02159475186916723,0.03263344172147011,0.020146868362851632,0.07212604874053635,0.6042999947969511
Shropshire,West Midlands,4.3,24.35,0.0,5.7,1.04,0.0,1.55,23.83,42.6,44,0.8976447321107516,0.006496464101642095,0.0017379839386311878,0.0012525470454273044,0.009256262735227137,0.7248034803480348
Slough,South East,11.2,51.25,8.75,0.0,0.0,1.25,0.0,0.0,33.5,32,0.3580230295076083,0.026686409449613837,0.06794994755823279,0.020090525146808903,0.31239027892289656,0.49260758751353295
Solihull,West Midlands,17.1,2.24,4.48,14.18,14.93,5.97,13.43,0.75,41.3,42,0.7956092756427979,0.019024744263201547,0.013992085982858723,0.005296170859828587,0.05858187033453138,0.6395221313358562
South Cambridgeshire,East of England,0.1,22.92,0.0,0.0,0.0,0.0,0.0,0.0,40.1,41,0.7843584290372891,0.014314476109456969,0.007191266127888842,0.0036069757549978734,0.031419254218063235,0.6652127617171263
South Derbyshire,East Midlands,5.2,8.62,0.0,8.62,1.72,1.72,0.0,1.72,39.5,40,0.8124578973368662,0.009538779359590426,0.0038173081241298784,0.0019939821260160774,0.021332015987784614,0.6857070757140153
South Gloucestershire,South West,1.3,4.24,1.21,3.64,0.0,0.0,0.0,2.42,39.8,40,0.8087977186533826,0.011896612693397007,0.00719571501335003,0.0028159966779025365,0.02089287857798656,0.6679929783499122
South Hams,South West,0.1,18.37,0.0,0.0,0.0,0.0,0.0,32.65,45.3,48,0.8796328182170375,0.007027248073694632,0.0013021393827213636,0.001334423830226852,0.004928758985837889,0.7020894812508782
South Holland,East Midlands,2.1,12.24,0.0,8.16,0.0,0.0,0.0,0.0,43.4,45,0.8539554957237884,0.007879315806145074,0.0025439499524865378,0.0009898637947418436,0.007394282546721571,0.6372838548658135
South Kesteven,East Midlands,3.5,12.35,0.0,4.94,1.23,0.0,3.7,0.0,41.8,43,0.868061522884568,0.007607095515011025,0.003390553079807891,0.0010857763300760044,0.01052470307681035,0.6931839439856757
South Lakeland,North West,0.0,13.56,0.0,1.69,0.0,0.0,0.0,23.73,45.4,48,0.9284399992712831,0.005765972563808275,0.0016669399355085533,0.0008471334098486091,0.007168752618826401,0.7262535633360134
South Norfolk,East of England,0.0,19.75,0.0,0.0,0.0,0.0,0.0,8.64,43.0,45,0.8194139194139194,0.008234974901641568,0.002564102564102564,0.001146384479717813,0.008614841948175281,0.7108515689302161
South Oxfordshire,South East,0.0,15.73,0.0,2.25,0.0,0.0,0.0,6.74,40.9,42,0.8158822821758043,0.01140328105510425,0.004862698417723523,0.0018361751837758092,0.01522759074820973,0.6894941485914687
South Ribble,North West,6.0,1.43,0.0,4.29,4.29,4.29,4.29,11.43,40.8,42,0.9168088848076373,0.010170401878145763,0.002321693103358658,0.0013514332989699653,0.013964810756022975,0.6874056726515743
South Somerset,South West,5.7,11.65,2.91,5.83,0.97,0.0,0.0,15.53,42.9,44,0.8706305075031551,0.006381677201761299,0.0019674082565015404,0.0010415690769714036,0.0077649250235593,0.6975503622548154
South Staffordshire,West Midlands,2.0,5.88,0.0,1.47,0.0,0.0,0.0,2.94,43.2,45,0.8981814712998535,0.01296471343213688,0.005012444390485028,0.002046603591962745,0.01840208822942773,0.7116884696235298
South Tyneside,North East,45.1,0.98,10.78,7.84,41.18,40.2,33.33,0.0,41.2,42,0.8925643715490003,0.008323230292789256,0.0026383069607331983,0.0061057961091254016,0.02079865320711338,0.6463656200675374
Southampton,South East,28.4,0.68,39.86,16.22,8.11,15.54,8.78,13.51,36.1,32,0.7243304327366968,0.020241197503181624,0.018063076391092163,0.00968568749844038,0.07091192334154436,0.5592269482525274
Southend-on-Sea,East of England,22.2,0.0,7.48,8.41,12.15,10.28,12.15,0.0,40.2,40,0.8177919858331274,0.018794786261428217,0.01877419487686352,0.004617617988633555,0.03315212914916399,0.6137782317557599
Southwark,London,23.1,18.67,15.06,0.0,0.6,1.2,7.83,18.67,33.7,32,0.4053423775293971,0.04616798936302821,0.20128962895250757,0.024548655835791747,0.07061536543815182,0.5103365955968584
Spelthorne,South East,1.7,8.33,1.67,0.0,0.0,0.0,0.0,1.67,40.4,41,0.7450561053743042,0.021314673300284553,0.013825008500814289,0.008241315747087353,0.06527730551031731,0.6262275363099405
St Albans,East of England,0.1,2.3,2.3,0.0,0.0,0.0,0.0,0.0,38.9,39,0.7567994053566641,0.023785733434065266,0.014549265225550168,0.005976896644164453,0.05490093339507226,0.6359611303746919
St. Helens,North West,40.1,0.0,10.08,15.97,29.41,42.02,22.69,3.36,40.7,41,0.9007822494390034,0.006181448314913072,0.0013002537592013926,0.0012583100895497347,0.00924857915819055,0.6578440277857994
Stafford,West Midlands,5.0,12.5,0.0,1.25,1.25,2.5,1.25,6.25,41.8,43,0.8630049408281968,0.01177181851663968,0.007692681875985907,0.003279987213609167,0.02284872448802318,0.6801395471666644
Staffordshire Moorlands,West Midlands,5.2,11.86,0.0,5.08,0.0,0.0,0.0,11.86,43.4,45,0.9655568659469594,0.006068120193131533,0.001209592065076053,0.0005745562309111252,0.0050601268055681554,0.7316386745347254
Stevenage,East of England,5.4,5.77,5.77,0.0,0.0,0.0,0.0,0.0,37.8,37,0.767675185834795,0.023646955650212978,0.02960828530861104,0.004280464378184248,0.050613881232773744,0.6135231837964513
Stockport,North West,17.5,0.0,13.16,6.32,10.0,12.11,8.42,5.79,40.8,41,0.8302851029414574,0.016251568161700557,0.00623443778616961,0.0051964261833650684,0.04381937324477333,0.6499896240721527
Stockton-on-Tees,North East,30.2,1.67,10.0,16.67,20.83,28.33,21.67,0.0,39.1,39,0.8755981323769659,0.009652285711523776,0.005476234206888551,0.002653532726903632,0.03205506201243149,0.6488336873478907
Stoke-on-Trent,West Midlands,50.7,0.0,22.01,32.08,30.82,42.77,28.3,8.81,38.5,38,0.7928961532515254,0.01614706738910801,0.013450496348842812,0.005831784303080203,0.0663068841660944,0.5945546104753917
Stratford-on-Avon,West Midlands,0.1,16.44,0.0,0.0,0.0,0.0,0.0,8.22,43.8,46,0.8062637665198238,0.008659140969162996,0.001817180616740088,0.0013078193832599119,0.010090859030837004,0.6976348900358601
Stroud,South West,0.7,1.45,0.0,1.45,0.0,0.0,0.0,1.45,42.3,44,0.8732001012690275,0.009620557612582677,0.0020570271211114276,0.0009968669894616917,0.005941643722902623,0.7080020609567595
Sunderland,North East,39.6,0.0,17.84,21.62,31.89,32.97,25.41,0.0,40.4,41,0.902412700147549,0.006072736215093721,0.00434791518662222,0.002858762773922072,0.02505601398983551,0.6676158116385911
Surrey Heath,South East,0.0,3.64,0.0,1.82,0.0,0.0,0.0,0.0,40.2,41,0.7954323938893392,0.0166822271696642,0.008833577855523295,0.005909571248294329,0.05528937405739261,0.6636767610269915
Sutton,London,5.8,0.83,0.0,0.83,2.48,0.0,2.48,0.83,38.3,38,0.6620887895241137,0.03164590652613648,0.04045565846907272,0.010681713332623586,0.09774566166294049,0.5974346302653079
Swale,South East,25.6,14.12,9.41,25.88,17.65,5.88,15.29,8.24,39.6,40,0.808391027587874,0.00976205381215949,0.008646390519341263,0.0013697865984046015,0.009229014683368559,0.6310249858564758
Swindon,South West,15.7,0.76,15.15,12.12,6.06,6.06,6.06,2.27,38.1,38,0.7633916226108174,0.017185847905652703,0.011634810898739325,0.003277755185034567,0.05435136234241562,0.6497277602986485
Tameside,North West,41.6,0.0,26.95,13.48,19.86,29.79,17.02,9.22,39.1,39,0.809443391209389,0.012824208077749045,0.007242287815987431,0.0016197717705039155,0.05907904405048492,0.6049826263152327
Tamworth,West Midlands,16.3,0.0,0.0,17.65,3.92,7.84,7.84,0.0,38.6,39,0.9097348148328445,0.009772541956212197,0.004782825639839843,0.0011318137010308024,0.00928574036437099,0.6419634146341463
Tandridge,South East,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,43,0.8259337711688505,0.019042651707877847,0.009388272110871024,0.0030123367430572555,0.023034263999914845,0.6600587449933244
Teignbridge,South West,4.0,7.14,0.0,0.0,0.0,0.0,0.0,21.43,44.6,47,0.8619058044195227,0.006532532009406846,0.0008262770217303795,0.0008615880055650111,0.006306541712865204,0.7147114833247202
Telford and Wrekin,West Midlands,26.1,2.78,12.96,19.44,18.52,16.67,17.59,0.93,38.1,38,0.7904854150011275,0.015287087714982679,0.009116905479367813,0.0024240001639915547,0.03582702990795974,0.6204003676111947
Tendring,East of England,31.4,4.49,12.36,20.22,17.98,16.85,14.61,6.74,45.7,48,0.8638215947376865,0.009414407187550137,0.002785175677843735,0.0013155783731750362,0.008182255735600835,0.6921703942832473
Test Valley,South East,1.5,18.31,4.23,4.23,0.0,0.0,0.0,5.63,41.4,43,0.8142976087877416,0.010911640543975226,0.003556873457105713,0.0029506712046626447,0.01729502329861669,0.7037897891313087
Tewkesbury,South West,2.1,10.0,0.0,6.0,0.0,0.0,0.0,2.0,42.4,44,0.7949662921348315,0.0077503121098626716,0.002546816479400749,0.0010986267166042446,0.008998751560549313,0.7003326853317835
Thanet,South East,36.4,1.19,32.14,20.24,25.0,7.14,20.24,2.38,41.9,43,0.8558162235162763,0.014614937187861445,0.0060839857460905375,0.0026207938598543853,0.016740989349682094,0.6506634839107666
Three Rivers,East of England,1.6,0.0,0.0,0.0,1.89,0.0,0.0,0.0,40.0,41,0.7328182544476705,0.019505446325922174,0.015686198094273077,0.004072565716401333,0.07787564060094702,0.6430226532787126
Thurrock,East of England,12.1,7.14,11.22,8.16,2.04,0.0,5.1,3.06,36.8,36,0.7292249074443857,0.016724772523665093,0.06650512159055338,0.005002860319276393,0.031987004436193296,0.5466040735973348
Tonbridge and Malling,South East,3.9,11.11,2.78,4.17,0.0,0.0,0.0,4.17,39.8,41,0.83998283998284,0.012193791854808804,0.0030611725526979764,0.002937562259596158,0.01767627191356005,0.667220703480955
Torbay,South West,29.1,1.12,11.24,7.87,16.85,12.36,11.24,10.11,44.2,46,0.8753085403982228,0.00973616367725303,0.0017209697767538808,0.0016181229773462784,0.00927678130656574,0.6783770036567595
Torridge,South West,10.3,32.43,0.0,5.41,2.7,0.0,0.0,48.65,44.6,47,0.8811996193461711,0.006003694581280788,0.0007137259292431706,0.0009376399462606359,0.0037925436632333183,0.7188495264819361
Tower Hamlets,London,30.6,6.94,21.53,0.69,0.69,1.39,15.28,13.89,30.9,29,0.29531515240501893,0.026686655899270755,0.04798703790999178,0.014906918695857129,0.26918747375769236,0.4930987505352069
Trafford,North West,11.3,0.72,2.17,1.45,5.8,5.07,7.25,2.9,39.3,39,0.7557207256391458,0.023518538738710633,0.02550343945467875,0.00857913865447909,0.07008766319861486,0.6244582140230639
