Title:,COVID-19 Vaccinations By Lower Tier Local Authority (LTLA) of Residence and Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary:,"The number of people who have been vaccinated for COVID-19, split by LTLA of residence and age group, as reported to the date of publication.",,,,,,,,,,,,,,,,,,,149952,,,,,,,,,,,,,,,,
"Period1,2:",8th December 2020 to 8th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"National Immunisation Management Service (NIMS), NHS Foundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basis:,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,9th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status:,Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions3:,"The data in this release includes all vaccinations administered in England, even if individuals vaccinated do not have an NHS number or are no longer resident in the population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTLA Code,UTLA Name,LTLA Cod,LTLA Name,1st dose,,,,,,,,,,,,,,Total 1st Doses,,2nd dose,,,,,,,,,,,,,,Total 2nd Doses,,Cumulative Total Doses (1st and 2nd doses) to Date
,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,
E06000055,Bedford,E06000055,Bedford,8980,7341,9134,9880,10490,10625,11757,11220,9464,7979,8148,5738,8294,,119050,,2251,2270,3023,3759,6739,8407,11176,10797,9198,7811,8025,5641,8027,,87124,,206174
E09000004,Bexley,E09000004,Bexley,10802,8959,11390,13123,14005,13971,15724,15583,13000,10239,10196,7612,11817,,156421,,3240,3121,4618,6286,9436,11192,14678,14828,12579,10001,9999,7462,11357,,118797,,275218
E08000025,Birmingham,E08000025,Birmingham,56514,42957,51863,55695,56417,55620,59465,55407,47889,39577,35690,26938,40329,,624361,,17966,16562,22639,28277,38722,43785,53914,51547,45334,37966,34605,26086,38258,,455661,,1080022
E10000018,Leicestershire,E07000129,Blaby,5068,4203,5107,5482,5591,6007,6971,6903,6134,5204,5640,4187,5693,,72190,,1880,1925,2589,3198,4565,5417,6746,6726,6013,5126,5585,4138,5513,,59421,,131611
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,8289,6080,7131,8178,8174,8613,9402,8759,7629,6379,5959,3975,5346,,93914,,2790,2474,2893,3521,4880,6093,8547,8255,7346,6167,5802,3853,5099,,67720,,161634
E06000009,Blackpool,E06000009,Blackpool,7242,5821,6876,6612,6490,7683,9848,10464,8898,7343,7627,5699,7727,,98330,,2864,2931,3842,3903,4958,6467,9314,10001,8604,7169,7475,5574,7419,,80521,,178851
E10000007,Derbyshire,E07000033,Bolsover,4219,3614,3943,4001,3806,4655,5993,5774,5064,4281,4287,3437,3914,,56988,,1422,1452,1840,2162,2891,4102,5776,5619,4963,4199,4222,3388,3757,,45793,,102781
E08000001,Bolton,E08000001,Bolton,16749,11120,13984,15379,15383,16745,18773,18208,15467,13334,13770,9884,12452,,191248,,6062,4949,6623,8133,10172,12852,17138,17076,14814,12931,13510,9665,11872,,145797,,337045
E10000019,Lincolnshire,E07000136,Boston,3108,2334,2770,2996,3024,3593,4126,4377,3984,3607,3710,2813,3903,,44345,,1028,975,1164,1424,2076,2880,3914,4234,3893,3544,3666,2769,3765,,35332,,79677
E06000058,"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole",20807,15647,18568,20258,21336,22095,24623,25042,22188,20045,21892,16733,25954,,275188,,5957,5661,8028,10748,17359,19744,23551,24141,21635,19656,21520,16371,24973,,219344,,494532
E06000036,Bracknell Forest,E06000036,Bracknell Forest,6642,5360,6792,7517,7818,7882,8392,7975,6659,5369,4872,3464,4727,,83469,,1615,1504,2133,2795,5623,6422,8041,7739,6501,5256,4756,3397,4590,,60372,,143841
E08000032,Bradford,E08000032,Bradford,24842,19111,24347,27671,28365,28623,30729,29816,27068,22853,21445,13956,21506,,320332,,8974,7769,10516,14196,19258,22460,28214,28204,25965,22155,21000,13606,20636,,242953,,563285
E10000012,Essex,E07000067,Braintree,7027,5852,7081,7575,8106,9337,10992,10404,8859,8003,8677,6202,7841,,105956,,2081,1877,2473,3055,5547,7748,10554,10056,8636,7864,8522,6099,7543,,82055,,188011
E10000020,Norfolk,E07000143,Breckland,6669,5421,6150,6068,6544,7632,9342,9917,8856,8465,9501,7147,9508,,101220,,1989,1780,2678,3226,4663,6390,8982,9686,8685,8354,9286,6976,9182,,81877,,183097
E09000005,Brent,E09000005,Brent,16159,17566,20420,20786,19981,18856,18653,17189,14514,11216,8841,6407,9569,,200157,,4918,6411,9026,11717,13564,15362,16732,15678,13579,10628,8433,6144,8657,,140849,,341006
E10000012,Essex,E07000068,Brentwood,3709,3089,3711,3975,4333,4603,5293,5458,4395,3681,3883,2920,4813,,53863,,888,901,1164,1862,2681,3843,5052,5271,4288,3589,3827,2880,4663,,40909,,94772
E06000043,Brighton and Hove,E06000043,Brighton and Hove,21850,15162,16414,16463,16933,18258,19261,17309,13099,10489,9969,7010,10522,,192739,,5275,4645,5303,5883,10709,14197,18289,16573,12657,10212,9732,6828,9998,,130301,,323040
E06000023,"Bristol, City of",E06000023,"Bristol, City of",35056,30576,33459,30824,27204,24517,24636,23874,19786,16545,15685,11209,16559,,309930,,9892,9293,10897,11629,16492,18375,23205,22842,19103,16107,15365,10945,15967,,200112,,510042
E10000020,Norfolk,E07000144,Broadland,6259,4981,5928,6351,6855,8034,9512,9615,8575,7964,9088,6846,9825,,99833,,1913,1700,2107,2501,4134,6175,9232,9390,8459,7873,8979,6754,9527,,78744,,178577
E09000006,Bromley,E09000006,Bromley,13340,12274,16285,19482,21186,20948,21971,21047,17433,13974,14985,10977,16992,,220894,,3878,3914,5625,7643,14137,17623,20970,20279,16950,13654,14738,10767,16258,,166436,,387330
